ida,idb,kmdist
BHS,LSO,12489
BHS,BWA,12213
BHS,SWZ,12776
BHS,MDG,14162
BHS,COM,13462
BHS,MUS,15232
BHS,SEY,14398
BHS,MAR,6697
BHS,DZA,7502
BHS,TUN,8120
BHS,LBY,8554
BHS,SDN,11122
BHS,IRN,11401
BHS,TUR,9806
BHS,IRQ,11039
BHS,EGY,10192
BHS,SYR,10424
BHS,LBN,10357
BHS,JOR,10513
BHS,ISR,10367
BHS,SAU,11835
BHS,YAR,12183
BHS,YEM,12183
BHS,YPR,12436
BHS,KWT,11589
BHS,BHR,12052
BHS,QAT,12084
BHS,ARE,12439
BHS,OMN,12813
BHS,AFG,12551
BHS,TKM,11679
BHS,TJK,12168
BHS,KGZ,12039
BHS,UZB,11915
BHS,KAZ,12038
BHS,CHN,12847
BHS,TBT,13857
BHS,MNG,12068
BHS,TWN,14209
BHS,KOR,12776
BHS,PRK,12616
BHS,KOR,12776
BHS,JPN,12408
BHS,IND,13526
BHS,BTN,14098
BHS,PAK,12834
BHS,BGD,14545
BHS,MMR,15441
BHS,LKA,15733
BHS,NPL,13957
BHS,MDV,15469
BHS,THA,15836
BHS,KHM,16077
BHS,LAO,15405
BHS,VNM,16100
BHS,DRV,14970
BHS,RVN,16101
BHS,MYS,16962
BHS,SGP,17193
BHS,BRN,16606
BHS,PHL,15362
BHS,IDN,17956
BHS,ETM,17123
BHS,AUS,15519
BHS,PNG,15115
BHS,NZL,13302
BHS,VAN,13417
BHS,SLB,13902
BHS,FJI,12337
BHS,MSI,12146
BHS,PAL,15168
BHS,FSM,13184
BHS,WSM,12787
CUB,USA,1813
CUB,CAN,2536
CUB,BHS,655
CUB,HTI,1152
CUB,DOM,1381
CUB,JAM,810
CUB,TTO,2624
CUB,BRB,2646
CUB,DMA,2458
CUB,GRN,2505
CUB,SLU,2456
CUB,SVG,2484
CUB,AAB,2245
CUB,SKN,2140
CUB,BLZ,876
CUB,MEX,1788
CUB,GTM,1276
CUB,HND,1130
CUB,SLN,1262
CUB,NIC,1293
CUB,CRI,1476
CUB,PAN,1603
CUB,COL,2235
CUB,VEN,2185
CUB,GUY,3154
CUB,SUR,3486
CUB,ECU,2604
CUB,PER,3953
CUB,BRA,5680
CUB,BOL,4628
CUB,PRY,5989
CUB,CHL,6368
CUB,ARG,6837
CUB,URY,6937
CUB,UK,7510
CUB,IRL,7043
CUB,NLD,7805
CUB,BEL,7819
CUB,LUX,7955
CUB,FRA,7726
CUB,MNC,8227
CUB,LIE,8273
CUB,CHE,8147
CUB,ESP,7440
CUB,AND,7802
CUB,PRT,7014
CUB,GMY,8374
CUB,GFR,8016
CUB,GDR,8374
CUB,POL,8861
CUB,AUH,8721
CUB,AUT,8721
CUB,HUN,8958
CUB,CZE,8516
CUB,CZE,8516
CUB,SVK,8778
CUB,ITA,8731
CUB,SNM,8608
CUB,MLT,9103
CUB,ALB,9284
CUB,SRB,9190
CUB,MNE,9178
CUB,MKD,9364
CUB,HRV,8820
CUB,YUG,9190
CUB,BHI,9091
CUB,SLN,8674
CUB,GRC,9730
CUB,CYP,10641
CUB,BGR,9496
CUB,MDA,9611
CUB,ROU,9595
CUB,RUS,9622
CUB,EST,8725
CUB,LVA,8843
CUB,LTU,9021
CUB,UKR,9539
CUB,BLR,9199
CUB,ARM,11083
CUB,GEO,11101
CUB,AZE,11409
CUB,FIN,8686
CUB,SWE,8376
CUB,NOR,7975
CUB,DNK,8207
CUB,ISL,6286
CUB,CPV,6121
CUB,STP,9889
CUB,GNB,7150
CUB,GNQ,10152
CUB,GNB,6973
CUB,MLI,7894
CUB,SEN,6851
CUB,BEN,9228
CUB,MRT,6867
CUB,NER,8883
CUB,CIV,8410
CUB,GIN,7435
CUB,BFA,8555
CUB,LBR,7850
CUB,SLE,7510
CUB,GHA,9016
CUB,TGO,9076
CUB,CMR,10257
CUB,NGA,9296
CUB,GAB,10187
CUB,CAF,10943
CUB,TCD,10211
CUB,COG,10960
CUB,COD,10960
CUB,UGA,12524
CUB,KEN,13009
CUB,TAZ,13495
CUB,ZAN,13485
CUB,BDI,12345
CUB,RWA,12341
CUB,SOM,13691
CUB,DJI,12920
CUB,ETH,12664
CUB,ERI,12318
CUB,AGO,10912
CUB,MOZ,13481
CUB,ZMB,12750
CUB,ZWE,13071
CUB,MWI,13201
CUB,ZAF,13049
CUB,TRA,13049
CUB,OFS,12950
CUB,NAM,11862
CUB,LSO,13039
CUB,BWA,12792
CUB,SWZ,13350
CUB,MDG,14796
CUB,COM,14111
CUB,MUS,15868
CUB,SEY,15050
CUB,MAR,7328
CUB,DZA,8114
CUB,TUN,8723
CUB,LBY,9170
CUB,SDN,11762
CUB,IRN,11907
CUB,TUR,10353
CUB,IRQ,11584
CUB,EGY,10786
CUB,SYR,10993
CUB,LBN,10927
CUB,JOR,11092
CUB,ISR,10944
CUB,SAU,12414
CUB,YAR,12804
CUB,YEM,12804
CUB,YPR,13065
CUB,KWT,12141
CUB,BHR,12606
CUB,QAT,12640
CUB,ARE,12989
CUB,OMN,13350
CUB,AFG,12966
CUB,TKM,12142
CUB,TJK,12564
CUB,KGZ,12376
CUB,UZB,12293
CUB,KAZ,12353
CUB,CHN,12816
CUB,TBT,14092
CUB,MNG,12138
CUB,TWN,14058
CUB,KOR,12638
CUB,PRK,12499
CUB,KOR,12638
CUB,JPN,12154
CUB,IND,13906
CUB,BTN,14356
CUB,PAK,13226
CUB,BGD,14805
CUB,MMR,15638
CUB,LKA,16217
CUB,NPL,14264
CUB,MDV,16033
