V1	V2	V3	V4	V5	v5ny	global_MF	ZV3	ZV4	Zv5ny	lokal_MF	FAC1_1	FAC1_2
Belize	1987	2203,0567	2542	0	18,5	-0,5153818372	-0,3672611457	-0,6330857712	-0,2882372727	-1,1173521641	-1,1173521641	-0,5153818372
Belize	1988	2164,2446	2504	0	18,9	-0,555906122	-0,3943865453	-0,7102679833	-0,2769919243	-1,2516108008	-1,2516108008	-0,555906122
Belize	1989	1968,5551	2439	0	19,5	-0,6642287808	-0,5311520355	-0,8422901882	-0,2601239017	-1,8280670619	-1,8280670619	-0,6642287808
Belize	1990	2261,3822	2484	0	20,1	-0,5335600695	-0,3264980205	-0,7508902002	-0,2432558791	-0,7835636706	-0,7835636706	-0,5335600695
Belize	1991	2004,6455	2521	0	21	-0,5696279622	-0,5059288056	-0,6757390989	-0,2179538452	-1,0803427336	-1,0803427336	-0,5696279622
Belize	1992	2431,0179	2707	0,0225404824	22,5404824429	-0,2698836412	-0,207941278	-0,2979524818	-0,1746456907	1,0292290491	1,0292290491	-0,2698836412
Belize	1993	2414,9214	2690	0,0199648135	19,9648135114	-0,3124109138	-0,2191909654	-0,3324813661	-0,247056427	0,2983249583	0,2983249583	-0,3124109138
Belize	1994	2150,0534	2649	0,0203151006	20,3151005727	-0,4228272699	-0,4043046371	-0,4157569108	-0,2372086769	-0,4289858303	-0,4289858303	-0,4228272699
Belize	1995	2317,8556	2693	0,0201857506	20,1857505713	-0,3365594729	-0,2870293099	-0,3263880336	-0,2408451414	0,1181067443	0,1181067443	-0,3365594729
Belize	1996	2145,1789	2647	0,0211782332	21,178233198	-0,4182248078	-0,4077113778	-0,4198191325	-0,2129431091	-0,2371444389	-0,2371444389	-0,4182248078
Belize	1997	2240,7864	2660	0,0183636254	18,3636254077	-0,404089427	-0,340892225	-0,3934146915	-0,2920712222	-0,6387455205	-0,6387455205	-0,404089427
Belize	1998	2227,2993	2651	0	18,4	-0,4154825496	-0,3503182282	-0,4116946891	-0,2910486098	-0,6956592599	-0,6956592599	-0,4154825496
Belize	1999	2115,5668	2640	0	21	-0,4345998252	-0,4284069868	-0,4340369084	-0,2179538452	-0,3801870141	-0,3801870141	-0,4345998252
Belize	2000	2270,2157	2688	0,0229954763	22,995476268	-0,3296780354	-0,3203243732	-0,3365435878	-0,1618542805	0,6677824565	0,6677824565	-0,3296780354
Belize	2001	2420,1452	2757	0	21	-0,2440052089	-0,2155401024	-0,1963969395	-0,2179538452	0,8014603889	0,8014603889	-0,2440052089
Belize	2002	2484,9608	2778	0	21	-0,2067942006	-0,1702411093	-0,1537436118	-0,2179538452	1,0391514071	1,0391514071	-0,2067942006
Belize	2003	2553,4725	2806	0,0568723364	21	-0,1624770944	-0,1223589478	-0,0968725081	-0,2179538452	1,3108918877	1,3108918877	-0,1624770944
Belize	2004	2296,9583	2776	0	20,9	-0,2650232204	-0,3016342299	-0,1578058335	-0,2207651823	0,5333271664	0,5333271664	-0,2650232204
Belize	2005	2326,9448	2818	0,021538093	21,5380929683	-0,2143379644	-0,2806769564	-0,072499178	-0,2028262379	0,9134639174	0,9134639174	-0,2143379644
Belize	2006	2349,0275	2800	0,0188407299	18,8407299444	-0,2475250856	-0,2652435719	-0,1090591732	-0,2786582053	0,2455679823	0,2455679823	-0,2475250856
Belize	2007	2394,6056	2793	0,0210942054	21,094205433	-0,2197898385	-0,2333894807	-0,1232769491	-0,2153054129	0,8872378896	0,8872378896	-0,2197898385
Belize	2008	2427,3268	2719	0,0216226802	21,6226802454	-0,2689218041	-0,2105209519	-0,2735791516	-0,2004482044	0,8377225687	0,8377225687	-0,2689218041
Belize	2009	2257,4492	2763	0	21,5	-0,2824808362	-0,329246756	-0,1842102745	-0,2038971597	0,5345523701	0,5345523701	-0,2824808362
Belize	2010	2380,6082	2839	0,0227220384	22,7220384362	-0,1697783996	-0,2431721275	-0,0298458502	-0,1695415397	1,4127241373	1,4127241373	-0,1697783996
Benin	1992	784,1464	2142	0,006848261	6,848261033	-1,3834736074	-1,3589237681	-1,4455301092	-0,6158069331	-0,8616846212	-0,8616846212	-1,3834736074
Benin	1993	818,2908	2155	0,0060003987	6,0003986761	-1,3698319544	-1,3350605787	-1,4191256682	-0,6396432021	-0,7187331891	-0,7187331891	-1,3698319544
Benin	1994	806,7278	2179	0,0053637938	5,3637938171	-1,3583621766	-1,343141847	-1,3703790079	-0,6575403107	-0,8107284069	-0,8107284069	-1,3583621766
Benin	1995	773,0348	2203	0,004199413	4,1994130126	-1,3581849018	-1,3666895574	-1,3216323476	-0,6902749802	-1,1181910319	-1,1181910319	-1,3581849018
Benin	1996	794,5228	2251	0,0031885593	3,1885593353	-1,3196889656	-1,3516718029	-1,2241390271	-0,7186934847	-0,9774632543	-0,9774632543	-1,3196889656
Benin	1997	800,8774	2243	0,0027951608	2,7951607554	-1,3282188989	-1,3472306347	-1,2403879138	-0,7297532449	-1,0134570983	-1,0134570983	-1,3282188989
Benin	1998	808,6041	2236	0,0034013984	3,4013984405	-1,3264941002	-1,3418305192	-1,2546056898	-0,7127098599	-0,90090427	-0,90090427	-1,3264941002
Benin	1999	894,4818	2234	0,0036264819	3,6264818719	-1,300784915	-1,2818114291	-1,2586679115	-0,7063820059	-0,3199755107	-0,3199755107	-1,300784915
Benin	2000	885,4181	2245	0,0026361843	2,6361842538	-1,3029232425	-1,2881459609	-1,2363256922	-0,7342226103	-0,4820646956	-0,4820646956	-1,3029232425
Benin	2001	819,7925	2315	0,0029483525	2,9483524542	-1,2594003424	-1,3340110551	-1,094147933	-0,7254465098	-0,6601961118	-0,6601961118	-1,2594003424
Benin	2002	927,5791	2401	0,0041169083	4,1169082675	-1,1431364063	-1,2586800477	-0,9194724003	-0,6925944667	0,4481180802	0,4481180802	-1,1431364063
Benin	2003	916,7592	2360	0	4,2	-1,1808074181	-1,2662419706	-1,002747945	-0,690258478	0,2699400437	0,2699400437	-1,1808074181
Benin	2004	851,8991	2461	0,0043099048	4,3099047517	-1,1122490465	-1,3115720643	-0,7976057496	-0,6871686849	0,1594468083	0,1594468083	-1,1122490465
Benin	2005	844,1032	2435	0,0059951948	5,9951947512	-1,121732192	-1,3170205431	-0,8504146316	-0,6397895019	0,2637436445	0,2637436445	-1,121732192
Benin	2006	817,0265	2450	0	7,2	-1,1060220334	-1,3359441857	-0,8199479689	-0,605918365	0,2969855591	0,2969855591	-1,1060220334
Benin	2007	828,9348	2564	0,0096398433	9,6398433036	-0,9826352059	-1,3276215905	-0,5884013326	-0,537326145	1,0401086882	1,0401086882	-0,9826352059
Benin	2008	952,6343	2521	0,0112340538	11,2340538406	-0,9686431297	-1,2411692118	-0,6757390989	-0,4925075127	1,9336909729	1,9336909729	-0,9686431297
Benin	2009	933,4216	2565	0,0106481085	10,6481084783	-0,9418012004	-1,2545967812	-0,5863702218	-0,5089804121	1,8573937473	1,8573937473	-0,9418012004
Benin	2010	906,4964	2555	0,0102097621	10,209762076	-0,9622975696	-1,2734145418	-0,6066813302	-0,5213038071	1,5939706455	1,5939706455	-0,9622975696
Botswana	1990	1586,1542	2216	0,0207678903	20,7678902924	-0,9574918647	-0,7984083091	-1,2952279067	-0,2244792315	1,4470581015	1,4470581015	-0,9574918647
Botswana	1991	1627,3141	2224	0,021690858	21,6908580098	-0,9301444822	-0,7696420549	-1,2789790199	-0,1985314976	1,6270254082	1,6270254082	-0,9301444822
Botswana	1992	1749,9253	2203	0,0253175619	25,3175618611	-0,8792984791	-0,6839502785	-1,3216323476	-0,0965726267	1,6206191042	1,6206191042	-0,8792984791
Botswana	1993	1600,8371	2069	0,0238263184	23,8263184421	-1,0519120344	-0,7881465729	-1,5938012009	-0,1384965062	-0,2861411807	-0,2861411807	-1,0519120344
Botswana	1994	1327,3056	2186	0,0243708993	24,3708993481	-1,0274267501	-0,9793150806	-1,356161232	-0,1231865012	-0,211415911	-0,211415911	-1,0274267501
Botswana	1995	1616,2462	2188	0,0259260842	25,9260842415	-0,9262531887	-0,7773773027	-1,3520990103	-0,0794650113	0,8679825801	0,8679825801	-0,9262531887
Botswana	1996	1618,7455	2214	0,0232862984	23,2862984336	-0,9269207315	-0,7756305662	-1,2992901284	-0,1536782891	1,3607174939	1,3607174939	-0,9269207315
Botswana	1997	1446,6714	2165	0	25	-1,0044986813	-0,8958914828	-1,3988145598	-0,1055003611	0,0050794074	0,0050794074	-1,0044986813
Botswana	1998	1306,052	2081	0	27	-1,1002613933	-0,9941690151	-1,5694278707	-0,0492736191	-1,6141522564	-1,6141522564	-1,1002613933
Botswana	1999	1266,6155	2117	0,0315010166	31,5010165767	-1,0405256015	-1,0217308018	-1,4963078803	0,0772651298	-1,7497840637	-1,7497840637	-1,0405256015
Botswana	2000	1499,6728	2080	0,0329413008	32,9413007779	-0,9904155972	-0,8588493193	-1,5714589816	0,1177563739	-1,3015301857	-1,3015301857	-0,9904155972
Botswana	2001	1312,6507	2154	0,027038622	27,0386220303	-1,0352574443	-0,9895572478	-1,421156779	-0,0481878237	-0,8193847128	-0,8193847128	-1,0352574443
Botswana	2002	1476,4333	2111	0	25	-1,0420793087	-0,87509118	-1,5084945454	-0,1055003611	-0,443506762	-0,443506762	-1,0420793087
Botswana	2003	1227,127	2113	0,0209654732	20,965473184	-1,1503901641	-1,0493289308	-1,5044323237	-0,2189245103	-1,1233615142	-1,1233615142	-1,1503901641
Botswana	2004	1408,617	2191	0	22	-1,0204016087	-0,9224873332	-1,3460056778	-0,1898404742	0,3604641492	0,3604641492	-1,0204016087
Botswana	2005	1490,6674	2198	0	26,5	-0,9496488141	-0,8651431058	-1,3317879019	-0,0633303046	0,4151633027	0,4151633027	-0,9496488141
Botswana	2006	1465,347	2150	0	26,9	-0,9947718937	-0,8828392874	-1,4292812224	-0,0520849562	-0,2266826162	-0,2266826162	-0,9947718937
Botswana	2007	1450,5067	2166	0,0277097582	27,7097581504	-0,9781359216	-0,8932110289	-1,3967834489	-0,0293199249	-0,1821742771	-0,1821742771	-0,9781359216
Botswana	2008	1480,6601	2184	0,0283009074	28,3009074473	-0,9484387111	-0,8721371106	-1,3602234537	-0,0127007254	0,0845502874	0,0845502874	-0,9484387111
Botswana	2009	1479,8184	2199	0,0305813413	30,5813413021	-0,9152948486	-0,8727253665	-1,329756791	0,0514099576	0,0598403714	0,0598403714	-0,9152948486
Botswana	2010	1478,4106	2234	0,0345673628	34,5673627924	-0,8498004437	-0,8737092643	-1,2586679115	0,1634704586	0,1096332739	0,1096332739	-0,8498004437
Brazil	1986	2215,5865	2684	0,0048292848	4,8292848399	-0,5126449288	-0,3585041903	-0,3446680312	-0,6725671598	-1,3160168751	-1,3160168751	-0,5126449288
Brazil	1987	2223,191	2691	0,0030905221	3,0905220733	-0,5200196901	-0,3531894791	-0,3304502553	-0,7214496426	-1,6226728709	-1,6226728709	-0,5200196901
Brazil	1988	2253,8318	2688	0,0014038588	1,4038587526	-0,5287013827	-0,3317749217	-0,3365435878	-0,7688674343	-1,9225986597	-1,9225986597	-0,5287013827
Brazil	1989	2437,4965	2736	0	2,4	-0,4241838053	-0,2034134474	-0,2390502673	-0,7408625458	-1,4450769572	-1,4450769572	-0,4241838053
Brazil	1990	2402,0737	2719	0,0027040758	2,7040757852	-0,4465298484	-0,2281700981	-0,2735791516	-0,7323139504	-1,4617454082	-1,4617454082	-0,4465298484
Brazil	1991	2542,2864	2777	0,0046408433	4,6408433299	-0,3378166273	-0,1301768044	-0,1557747226	-0,6778648859	-0,8209640367	-0,8209640367	-0,3378166273
Brazil	1992	2503,6888	2771	0,0041994994	4,1994993669	-0,3583568151	-0,157152292	-0,1679613877	-0,6902725525	-0,9554379037	-0,9554379037	-0,3583568151
Brazil	1993	2497,4391	2774	0,0053036485	5,3036484843	-0,3476987988	-0,1615201467	-0,1618680552	-0,6592311987	-0,7437571361	-0,7437571361	-0,3476987988
Brazil	1994	2687,7107	2818	0,0067488766	6,7488765636	-0,2406240411	-0,0285411741	-0,072499178	-0,6186009655	-0,1844671045	-0,1844671045	-0,2406240411
Brazil	1995	3083,8224	2812	0,0070893934	7,089393433	-0,125544366	0,2482974443	-0,0846858431	-0,6090278884	0,232698839	0,232698839	-0,125544366
Brazil	1996	3135,4027	2840	0,0072766185	7,2766185115	-0,0845518787	0,2843464148	-0,0278147394	-0,6037643604	0,3848179925	0,3848179925	-0,0845518787
Brazil	1997	3160,8363	2854	0,0061192147	6,1192146907	-0,0754116978	0,3021217108	0,0006208124	-0,6363028834	0,2224863809	0,2224863809	-0,0754116978
Brazil	1998	3077,2873	2853	0,0070894221	7,0894220607	-0,0922595061	0,2437301264	-0,0014102984	-0,6090270836	0,3272306344	0,3272306344	-0,0922595061
Brazil	1999	3231,4956	2865	0,0060238688	6,0238688203	-0,045919249	0,351504809	0,0229630317	-0,6389833772	0,2968100401	0,2968100401	-0,045919249
Brazil	2000	3310,0001	2880	0,006839142	6,8391420049	-0,0024809446	0,4063708413	0,0534296944	-0,6160632997	0,5615022257	0,5615022257	-0,0024809446
Brazil	2001	3195,4474	2892	0,005677427	5,677426985	-0,0365058864	0,3263110723	0,0778030245	-0,648723025	0,2637147867	0,2637147867	-0,0365058864
Brazil	2002	3330,677	2927	0,0053314045	5,3314044625	0,0304475395	0,4208217258	0,1488919041	-0,6584508846	0,409052814	0,409052814	0,0304475395
Brazil	2003	3287,4718	3067	0,0057311737	5,7311737413	0,1415180716	0,3906260313	0,4332474224	-0,6472120225	0,7885398408	0,7885398408	0,1415180716
Brazil	2004	3345,3638	3082	0,0041842513	4,1842513446	0,1576155199	0,4310861876	0,4637140851	-0,6907012258	0,5846185078	0,5846185078	0,1576155199
Brazil	2005	3261,7974	3078	0,0042722043	4,2722042825	0,1302514013	0,3726824426	0,4555896417	-0,6882285722	0,51409931	0,51409931	0,1302514013
