Botswana,Pigmeat,Protein supply quantity (g/capita/day),0.09,0.24,0.08,0.25,0.18,0.19
Botswana,Poultry Meat,Protein supply quantity (g/capita/day),0.11,0.09,0.55,1.81,1.88,1.55
Botswana,Meat,Protein supply quantity (g/capita/day),12.54,16.76,6.44,12.47,8.94,12.74
Botswana,Offals,Protein supply quantity (g/capita/day),1.74,3.24,2.69,1.94,1.48,1.87
Brazil,Bovine Meat,Protein supply quantity (g/capita/day),6.56,6.16,8.26,10.62,12.77,14.61
Brazil,Mutton & Goat Meat,Protein supply quantity (g/capita/day),0.23,0.24,0.17,0.3,0.23,0.23
Brazil,Pigmeat,Protein supply quantity (g/capita/day),1.69,1.98,1.92,1.97,3.44,3.32
Brazil,Poultry Meat,Protein supply quantity (g/capita/day),0.55,1.23,3.13,4.99,9.12,13.17
Brazil,Meat,Protein supply quantity (g/capita/day),9.32,9.72,13.52,17.91,25.57,31.38
Brazil,Offals,Protein supply quantity (g/capita/day),0.69,0.73,0.83,0.93,1.27,1.11
Brunei Darussalam,Bovine Meat,Protein supply quantity (g/capita/day),7.93,5.92,8.56,8.58,3.79,4.07
Brunei Darussalam,Mutton & Goat Meat,Protein supply quantity (g/capita/day),0.03,0.12,0.21,0.23,0.35,0.67
Brunei Darussalam,Pigmeat,Protein supply quantity (g/capita/day),1.4,1.07,1.24,1.31,1.49,1.5
Brunei Darussalam,Poultry Meat,Protein supply quantity (g/capita/day),1.34,4.73,9.68,11.97,16.33,21.24
Brunei Darussalam,Meat,Protein supply quantity (g/capita/day),10.7,11.99,20.27,22.24,21.96,28.47
Brunei Darussalam,Offals,Protein supply quantity (g/capita/day),0.8,0.68,0.63,0.98,0.92,0.44
Bulgaria,Bovine Meat,Protein supply quantity (g/capita/day),2.69,3.46,4.76,4.74,4.32,1.7
Bulgaria,Mutton & Goat Meat,Protein supply quantity (g/capita/day),2.15,3.05,2.43,2.86,2.02,0.7
Bulgaria,Pigmeat,Protein supply quantity (g/capita/day),3.94,4.3,8.71,6.38,5.67,7.93
Bulgaria,Poultry Meat,Protein supply quantity (g/capita/day),1.49,3.71,5.19,4.01,7.18,8.11
Bulgaria,Meat,Protein supply quantity (g/capita/day),10.7,14.68,21.27,18.14,19.49,18.94
Bulgaria,Offals,Protein supply quantity (g/capita/day),1.6,1.26,3.2,3.97,3.51,2.33
Burkina Faso,Bovine Meat,Protein supply quantity (g/capita/day),1.2,1.92,1.16,2.66,2.34,3.15
Burkina Faso,Mutton & Goat Meat,Protein supply quantity (g/capita/day),0.74,1.03,0.83,1.32,1.34,1.33
Burkina Faso,Pigmeat,Protein supply quantity (g/capita/day),0.07,0.11,0.13,0.3,0.6,0.63
Burkina Faso,Poultry Meat,Protein supply quantity (g/capita/day),0.46,0.43,0.45,0.74,0.77,0.81
Burkina Faso,Meat,Protein supply quantity (g/capita/day),3.08,4.04,3.02,5.35,5.43,6.23
Burkina Faso,Offals,Protein supply quantity (g/capita/day),0.41,0.66,0.58,0.95,0.94,1.11
Cabo Verde,Bovine Meat,Protein supply quantity (g/capita/day),0.32,0.37,0.43,0.56,0.66,0.99
Cabo Verde,Mutton & Goat Meat,Protein supply quantity (g/capita/day),0.25,0.22,0.36,0.51,0.42,0.69
Cabo Verde,Pigmeat,Protein supply quantity (g/capita/day),0.47,0.91,1.21,3.52,4.99,3.52
Cabo Verde,Poultry Meat,Protein supply quantity (g/capita/day),0.06,0.12,0.36,0.55,2.1,6.64
Cabo Verde,Meat,Protein supply quantity (g/capita/day),1.1,1.61,2.37,5.14,8.21,11.94
Cabo Verde,Offals,Protein supply quantity (g/capita/day),0.15,0.18,0.23,0.45,0.53,0.54
Cambodia,Bovine Meat,Protein supply quantity (g/capita/day),0.98,1.51,0.89,1.71,2.19,2.03
Cambodia,Mutton & Goat Meat,Protein supply quantity (g/capita/day),0.0,0.0,0.0,0.0,0.0,0.0
Cambodia,Pigmeat,Protein supply quantity (g/capita/day),0.49,1.66,0.41,2.01,2.58,2.44
Cambodia,Poultry Meat,Protein supply quantity (g/capita/day),0.22,0.35,0.3,0.58,0.67,0.59
Cambodia,Meat,Protein supply quantity (g/capita/day),1.69,3.52,1.59,4.3,5.44,5.06
Cambodia,Offals,Protein supply quantity (g/capita/day),0.28,0.56,0.28,0.64,0.8,0.73
Cameroon,Bovine Meat,Protein supply quantity (g/capita/day),1.66,2.03,1.95,2.49,2.34,1.67
Cameroon,Mutton & Goat Meat,Protein supply quantity (g/capita/day),0.61,0.7,0.59,0.84,0.77,0.65
Cameroon,Pigmeat,Protein supply quantity (g/capita/day),0.18,0.27,0.46,0.39,0.33,0.62
Cameroon,Poultry Meat,Protein supply quantity (g/capita/day),0.18,0.39,0.25,0.49,0.78,1.12
Cameroon,Meat,Protein supply quantity (g/capita/day),4.93,5.49,5.11,5.93,5.82,5.62
Cameroon,Offals,Protein supply quantity (g/capita/day),0.49,0.56,0.59,0.7,0.67,0.6
Canada,Bovine Meat,Protein supply quantity (g/capita/day),13.73,16.05,15.57,13.15,12.25,11.02
Canada,Mutton & Goat Meat,Protein supply quantity (g/capita/day),0.59,0.47,0.25,0.3,0.36,0.37
Canada,Pigmeat,Protein supply quantity (g/capita/day),7.04,8.75,8.93,7.35,8.26,6.6
Canada,Poultry Meat,Protein supply quantity (g/capita/day),5.06,7.18,7.91,10.02,13.1,13.25
Canada,"Meat, Aquatic Mammals",Protein supply quantity (g/capita/day),0.0,0.0,0.0,0.0,0.0,0.0
Canada,Meat,Protein supply quantity (g/capita/day),26.54,32.56,32.74,30.84,34.02,31.29
Canada,Offals,Protein supply quantity (g/capita/day),1.06,1.02,0.34,0.89,0.61,0.44
Central African Republic,Bovine Meat,Protein supply quantity (g/capita/day),2.45,3.15,4.04,5.67,7.24,7.94
Central African Republic,Mutton & Goat Meat,Protein supply quantity (g/capita/day),0.43,0.46,0.57,0.76,1.19,2.02
Central African Republic,Pigmeat,Protein supply quantity (g/capita/day),0.1,0.27,0.78,0.86,1.07,1.27
Central African Republic,Poultry Meat,Protein supply quantity (g/capita/day),0.11,0.14,0.24,0.28,0.3,0.46
Central African Republic,Meat,Protein supply quantity (g/capita/day),6.39,7.05,8.4,10.58,12.77,15.11
Central African Republic,Offals,Protein supply quantity (g/capita/day),0.53,0.69,0.96,1.27,1.41,1.69
Chad,Bovine Meat,Protein supply quantity (g/capita/day),3.08,1.96,3.39,5.11,3.71,3.35
Chad,Mutton & Goat Meat,Protein supply quantity (g/capita/day),1.21,1.28,1.71,1.2,1.48,1.38
Chad,Pigmeat,Protein supply quantity (g/capita/day),0.01,0.01,0.01,0.01,0.02,0.02
Chad,Poultry Meat,Protein supply quantity (g/capita/day),0.15,0.19,0.22,0.21,0.18,0.15
Chad,Meat,Protein supply quantity (g/capita/day),4.97,3.88,5.7,6.86,5.67,5.13
Chad,Offals,Protein supply quantity (g/capita/day),1.11,1.01,1.09,1.16,1.15,1.04
Chile,Bovine Meat,Protein supply quantity (g/capita/day),6.99,6.28,6.04,6.33,7.23,7.34
Chile,Mutton & Goat Meat,Protein supply quantity (g/capita/day),1.25,1.16,0.5,0.37,0.26,0.22
Chile,Pigmeat,Protein supply quantity (g/capita/day),1.14,1.43,1.56,2.76,5.18,6.91
Chile,Poultry Meat,Protein supply quantity (g/capita/day),0.8,1.52,3.69,3.12,9.38,12.16
Chile,"Meat, Aquatic Mammals",Protein supply quantity (g/capita/day),0.0,0.0,0.0,0.0,0.0,0.0
Chile,Meat,Protein supply quantity (g/capita/day),10.28,10.54,11.98,12.77,22.19,26.73
Chile,Offals,Protein supply quantity (g/capita/day),1.61,1.34,1.33,1.62,1.25,0.35
China,Bovine Meat,Protein supply quantity (g/capita/day),0.04,0.1,0.13,0.41,1.47,1.81
China,Mutton & Goat Meat,Protein supply quantity (g/capita/day),0.06,0.1,0.18,0.37,0.77,1.09
China,Pigmeat,Protein supply quantity (g/capita/day),0.71,2.46,3.72,6.17,8.56,10.83
China,Poultry Meat,Protein supply quantity (g/capita/day),0.33,0.39,0.55,1.24,3.18,4.21
China,Meat,Protein supply quantity (g/capita/day),1.2,3.12,4.67,8.31,14.3,18.52
China,Offals,Protein supply quantity (g/capita/day),0.09,0.27,0.35,0.68,1.27,1.75
