V1,V2,V3,V4,V5,v5ny,FAC1_1,ZV3,ZV4,Zv5ny,FAC1_2
Senegal,1997,1020.028,2114,0.00807919596971,8.07919596971,-1.32668016164437,-1.19406840969833,-1.50240121284782,-0.581201202512642,-1.32668016164437
Senegal,1996,997.4268,2107,0,08.03.2018,-1.33739272457108,-1.20986416878173,-1.51661898876258,-0.574993656890218,-1.33739272457108
Senegal,1989,957.0074,2104,0.00839058890515,8.39058890515,-1.35111114250454,-1.23811289472087,-1.52271232129747,-0.572446897391013,-1.35111114250454
Senegal,1991,956.2484,2240,0.00852878401021,8.52878401021,-1.23327313589061,-1.23864335244632,-1.24648124638216,-0.56856176713171,-1.23327313589061
Senegal,1995,983.986,2167,0.00861522792614,8.61522792614,-1.28699555447333,-1.21925781330894,-1.39475233806465,-0.566131537252248,-1.28699555447333
Senegal,1994,940.2582,2149,0,8.65,-1.31507910488797,-1.24981874786317,-1.43131233327403,-0.56515397703929,-1.31507910488796
Senegal,2000,1040.0564,2164,0.00894939234374,8.94939234374,-1.26998145342657,-1.18007075553723,-1.40084567059954,-0.556737049004374,-1.26998145342657
Senegal,1990,967.1499,2237,0.00993773708962,9.93773708962,-1.2199543965437,-1.2310244000169,-1.25257457891706,-0.528951346484929,-1.2199543965437
Senegal,1998,1001.8349,2107,0.010266706235,10.266706235,-1.31840188420776,-1.20678339052148,-1.51661898876258,-0.519702914852436,-1.31840188420776
Senegal,1999,1009.9992,2154,0.0103389464042,10.3389464042,-1.27496567190861,-1.20107744057703,-1.4211567790492,-0.517672000174422,-1.27496567190861
Senegal,2001,1031.0942,2174,0.0112967286871,11.2967286871,-1.24293283923133,-1.18633435003917,-1.38053456214989,-0.490745511515488,-1.24293283923133
Senegal,2010,1128.2751,2435,0.0119206512675,11.9206512675,-0.984384599944837,-1.11841556325315,-0.850414631613886,-0.473204944535772,-0.984384599944836
Senegal,2002,1010.0463,2144,0.0121731212837,12.1731212837,-1.26704639054736,-1.20104452284466,-1.44146788749885,-0.466107161303295,-1.26704639054736
Senegal,2006,1062.9879,2310,0.0125904095555,12.5904095555,-1.10504458326191,-1.16404415299307,-1.10430348723458,-0.454375781303127,-1.10504458326191
Senegal,2004,1072.0872,2248,0.0127783616445,12.7783616445,-1.15391874057922,-1.15768474063321,-1.23023235962244,-0.449091814494347,-1.15391874057922
Senegal,2009,1143.4767,2446,0.0129066590077,12.9066590077,-0.961571934628057,-1.10779131271414,-0.828072412319265,-0.445484943124043,-0.961571934628055
Senegal,2003,1090.8003,2223,0.0134972825174,13.4972825174,-1.16339218204956,-1.14460633686245,-1.28101013074658,-0.428880525272959,-1.16339218204956
Senegal,2005,1074.7045,2237,0.0139001537504,13.9001537504,-1.15250472831994,-1.15585553509328,-1.25257457891706,-0.417554456833334,-1.15250472831994
Senegal,2008,1101.1443,2439,0.0145462436153,14.5462436153,-0.965361727386457,-1.13737701576629,-0.842290188234024,-0.399390692760348,-0.965361727386456
Senegal,2007,1075.9896,2342,0.0151925709633,15.1925709633,-1.05030998477992,-1.1549573911895,-1.03930794019568,-0.381220252236864,-1.05030998477992
Spain,1986,4247.5465,3098,0.0225374616046,22.5374616046,0.60328107815363,1.06161291090514,0.496211858598255,-0.174730616664097,0.603281078153631
Spain,1987,4374.5011,3150,0.0259056553969,25.9056553969,0.715791747794788,1.15034024733549,0.601829622536462,-0.0800393349723399,0.715791747794789
Spain,1988,4628.6974,3208,0.0259707503811,25.9707503811,0.841389441606825,1.32799557159669,0.719634051544462,-0.0782092955311135,0.841389441606827
Spain,1989,4720.5924,3240,0.0270180612559,27.0180612559,0.905477917161735,1.39222009423129,0.784629598583359,-0.04876585635275,0.905477917161736
Spain,1990,4924.0826,3260,0.0317193726442,31.7193726442,1.02513002573242,1.53443741787045,0.825251815482669,0.0834038549055173,1.02513002573242
Spain,1992,4802.9499,3405,0.035719194274,35.719194274,1.14982004312758,1.44977895078366,1.11976288800267,0.195852324328514,1.14982004312758
Spain,1991,4822.4486,3410,0.0381478806637,38.1478806637,1.18172423841582,1.4634064027614,1.1299184422275,0.264130885851239,1.18172423841582
Spain,1993,4796.9842,3308,0.0414795988312,41.4795988312,1.11653968571019,1.44560958101728,0.922745136041014,0.35779671477044,1.11653968571019
Spain,1997,4826.2759,3302,0.0432723453447,43.2723453447,1.1361729190868,1.46608126554479,0.910558470971221,0.408196862618175,1.1361729190868
Spain,1994,4798.31,3304,0.0432898816947,43.2898816947,1.12977615674941,1.44653616975561,0.914620692661152,0.408689868531758,1.12977615674941
Spain,1996,4805.5181,3357,0.0452165011115,45.2165011115,1.19476006742096,1.45157384081064,1.02226956744432,0.462853634977167,1.19476006742096
Spain,1998,5106.5238,3337,0.0478566633089,47.8566633089,1.29036259729519,1.6619437999248,0.981647350545014,0.537077494339848,1.29036259729519
